Instance,API_Endpoint,Error_Reason
285936586.masto.host,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://285936586.masto.host/api/v1/instance/domain_blocks
285936586.masto.host,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://285936586.masto.host/api/v1/instance/terms_of_service
7144.party,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://7144.party/api/v1/instance/domain_blocks
7144.party,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://7144.party/api/v1/instance/extended_description
7144.party,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://7144.party/api/v1/instance/privacy_policy
7144.party,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://7144.party/api/v1/instance/terms_of_service
7144.party,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://7144.party/api/v1/instance/translation_languages
a2mi.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://a2mi.social/api/v1/instance/domain_blocks
a2mi.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://a2mi.social/api/v1/instance/terms_of_service
aana.site,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://aana.site/api/v1/instance/domain_blocks
aana.site,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://aana.site/api/v1/instance/terms_of_service
abdl.link,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://abdl.link/api/v1/instance/domain_blocks
abdl.link,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://abdl.link/api/v1/instance/terms_of_service
allpro.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://allpro.social/api/v1/instance/terms_of_service
amefur.asia,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://amefur.asia/api/v1/instance/domain_blocks
amefur.asia,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://amefur.asia/api/v1/instance/terms_of_service
amicale.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://amicale.net/api/v1/instance/domain_blocks
amicale.net,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://amicale.net/api/v1/instance/terms_of_service
artoot.xyz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://artoot.xyz/api/v1/instance/terms_of_service
assortedflotsam.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://assortedflotsam.com/api/v1/instance/terms_of_service
audiophile-mastodon.com,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://audiophile-mastodon.com/api/v1/instance/domain_blocks
audiophile-mastodon.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://audiophile-mastodon.com/api/v1/instance/terms_of_service
audiophile-mastodon.com,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://audiophile-mastodon.com/api/v1/instance/translation_languages
aus.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://aus.social/api/v1/instance/domain_blocks
aus.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://aus.social/api/v1/instance/terms_of_service
backyard.cloud,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://backyard.cloud/api/v1/instance/domain_blocks
backyard.cloud,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://backyard.cloud/api/v1/instance/terms_of_service
bangdream.space,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://bangdream.space/api/v1/instance/domain_blocks
bangdream.space,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://bangdream.space/api/v1/instance/terms_of_service
baraag.net,/api/v1/instance/activity,404 Client Error: Not Found for url: https://baraag.net/api/v1/instance/activity
baraag.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://baraag.net/api/v1/instance/domain_blocks
beach.city,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://beach.city/api/v1/instance/domain_blocks
beach.city,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://beach.city/api/v1/instance/terms_of_service
bonn.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://bonn.social/api/v1/instance/terms_of_service
bookwor.ms,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://bookwor.ms/api/v1/instance/domain_blocks
bookwor.ms,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://bookwor.ms/api/v1/instance/terms_of_service
butts.team,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://butts.team/api/v1/instance/terms_of_service
chaos.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://chaos.social/api/v1/instance/domain_blocks
chaos.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://chaos.social/api/v1/instance/terms_of_service
chaosphere.hostdon.jp,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://chaosphere.hostdon.jp/api/v1/instance/domain_blocks
chaosphere.hostdon.jp,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://chaosphere.hostdon.jp/api/v1/instance/terms_of_service
chitter.xyz,/api/v1/instance/peers,404 Client Error: Not Found for url: https://chitter.xyz/api/v1/instance/peers
chitter.xyz,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://chitter.xyz/api/v1/instance/domain_blocks
chitter.xyz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://chitter.xyz/api/v1/instance/terms_of_service
colorid.es,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://colorid.es/api/v1/instance/domain_blocks
colorid.es,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://colorid.es/api/v1/instance/terms_of_service
comm.cx,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://comm.cx/api/v1/instance/domain_blocks
comm.cx,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://comm.cx/api/v1/instance/terms_of_service
computerfairi.es,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://computerfairi.es/api/v1/instance/domain_blocks
computerfairi.es,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://computerfairi.es/api/v1/instance/extended_description
computerfairi.es,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://computerfairi.es/api/v1/instance/privacy_policy
computerfairi.es,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://computerfairi.es/api/v1/instance/terms_of_service
computerfairi.es,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://computerfairi.es/api/v1/instance/translation_languages
die-partei.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://die-partei.social/api/v1/instance/domain_blocks
die-partei.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://die-partei.social/api/v1/instance/terms_of_service
digipres.club,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://digipres.club/api/v1/instance/domain_blocks
digipres.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://digipres.club/api/v1/instance/terms_of_service
digitalcourage.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://digitalcourage.social/api/v1/instance/terms_of_service
dobbs.town,/api/v1/instance/peers,404 Client Error: Not Found for url: https://dobbs.town/api/v1/instance/peers
dobbs.town,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://dobbs.town/api/v1/instance/domain_blocks
dobbs.town,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://dobbs.town/api/v1/instance/terms_of_service
don.neso.tech,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://don.neso.tech/api/v1/instance/domain_blocks
don.neso.tech,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://don.neso.tech/api/v1/instance/extended_description
don.neso.tech,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://don.neso.tech/api/v1/instance/privacy_policy
don.neso.tech,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://don.neso.tech/api/v1/instance/terms_of_service
don.neso.tech,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://don.neso.tech/api/v1/instance/translation_languages
donphan.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://donphan.social/api/v1/instance/domain_blocks
donphan.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://donphan.social/api/v1/instance/terms_of_service
dragonscave.space,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://dragonscave.space/api/v1/instance/terms_of_service
dtp-mstdn.jp,/api/v1/instance/rules,404 Client Error: Not Found for url: https://dtp-mstdn.jp/api/v1/instance/rules
